ID,CONST,DE ,HD+DLC,AoC,Description
2461,,Alexander's Ekdromos,,,
2462,,Alexander's Strategos,,,
2463,,Alexander's Slinger,,,
2464,,Alexander's Mercenary Archer,,,
2465,,Alexander's Axe Cavalry,,,
2466,,Alexander's Axeman,,,
2467,,Alexander's Immortal,,,
2468,,Alexander's Immortal Ranged,,,
2469,,Alexander's War Chariot,,,
2470,,Alexander's Skirmisher Cavalry,,,
2471,,Alexander's Heavy Cavalry,,,
2472,,Alexander's Sannahya,,,
2473,,Alexander's Longbowman,,,
2474,,Alexander's Eastern Archer,,,
2475,,Alexander's Sickle Warrior,,,
2476,,Macedonian Command Post (Rubble),,,
2477,,Ekdromos/Strategos,,,0 line of sight
2478,,Slinger/Mercenary Archer,,,0 line of sight
2479,,Axe Cavalry/Axeman,,,0 line of sight
2480,,Immortal/War Chariot,,,0 line of sight
2481,,Skirmisher Cav/Heavy Cav,,,0 line of sight
2482,,Sannahya/Longbowman,,,0 line of sight
2483,,Eastern Archer/Sickle Warrior,,,0 line of sight
2484,,Helepolis Dead,,,
2485,,Scythian Horse Archer,,,cavalry archer
2486,,Elite Scythian Horse Archer,,,cavalry archer
2487,,Sacred Band,,,infantry unit
2488,,Statue Artemis,,,
2489,,Fortified Outpost (Rubble),,,
2490,,Owl,,,bird like hawk
2491,,Water Pots,,,
2492,,Camp Archery Range Age2 (Rubble),,,
2493,,Porus (Dead),,,
2494,,Dismounted Alexander (Dead),,,
2495,,Cleitus (Dead),,,
2496,,Camp Barracks Age2 (Rubble),,,
2497,,Scythian Horse Archer (Dead),,,
2498,,Macedonian Flag,,,
2499,,Thracian Flag,,,
2500,,Puru Flag,,,
2501,,Grain Storage,,,
2502,,Mounted Alexander (Dead),,,
2503,,Sacred Band (Dead),,,
2504,,Burned Building Achaemenid,,,
2505,,Burned Building Greek,,,
2506,,Burned Building Greek,,,
2507,,Statue Sphinx,,,
2508,,Burned Building Thracian,,,
2509,,Burned Building Puru,,,
2510,,Furnace,,,
2511,,Water Trough,,,
2512,,Elite Scythian Horse Archer (Dead),,,
2513,,Boeotian Flag,,,
2514,,Puru Ruins,,,
2515,,Rock 3,,,small desert rock
2516,,Rock 3 Hover,,,no collision
2517,,Skeleton Civilian,,,
2518,,Skeleton Soldier,,,
2519,,Amphorae,,,
2520,,Construction Crane,,,
2521,,Mole Top,,,
2522,,Mole Bottom,,,
2523,,Benches (Wooden),,,
2524,,Benches (Stone),,,
2525,,Bucephalus,,,hero horse scout (unique graphic)
2526,,Bucephalus (dead),,,
2527,,Scaffolding,,,
2528,,Fountain Antiquity,,,
2529,,Cypress Tree (Decorative),,,cannot be chopped
2530,,Theatre,,,
2531,,Statue Alexander,,,
2532,,Statue Hephaistion,,,
2533,,Statue Greek Hero,,,
2534,,Mediterranean Stall,,,
2535,,Mesopotamian Stall,,,
2536,,Water Lily,,,
2537,,Peacock,,,"unpushable hunt, 85 food"
2538,,Peacock (Dead),,,
2539,,-,,,
2540,,-,,,
2541,,-,,,
2542,,-,,,
2543,,-,,,
2544,,-,,,
2545,,-,,,
2546,,-,,,
2547,,-,,,
2548,,-,,,
2549,,-,,,
2550,,Champi Scout,,,
2551,,Invisible object B,,,
2552,,Champi Warrior,,,
2553,,Invisible Object C,,,
2554,,Elite Champi Warrior,,,
2555,,Invisible Object D,,,
2556,,Settlement,,,dark age
2557,,Missionary with Relic,,,
2558,,Settlement,,,feudal age
2559,,Longhouse A,,,provides 5 population
2560,,Settlement,,,castle age
2561,,Longhouse B,,,provides 5 population
2562,,Guecha Warrior,,,Muisca unique unit
2563,,Invisible Object E,,,
2564,,Elite Guecha Warrior,,,Muisca unique unit
2565,,Guecha Warrior (Dead),,,
2566,,Kona,,,Mapuche unique unit
2567,TREE_GREEN_OAK,Tree (Oak Green),,,
2568,,Elite Kona,,,Mapuche unique unit
2569,,Bolas Rider,,,Mapuche unique unit
2570,TREE_MONKEY_PUZZLE,Tree (Monkey Puzzle),,,
2571,,Elite Bolas Rider,,,Mapuche unique unit
2572,,Projectile Bolas,,,
2573,,Projectile EliteBolas,,,
2574,,Projectile Bolas (Charge),,,
2575,,Projectile EliteBolas (Charge),,,
2576,,Torch C,,,
2577,,Flotsam,,,animated
2578,RAVEN,Raven,,,bird
2579,,Blackwood Archer,,,Tupi unqiue unit
2580,TREE_BRAZILWOOD,Tree (Brazilwood),,,
2581,,Elite Blackwood Archer,,,Tupi unqiue unit
2582,,Ibirapema Warrior,,,Tupi unqiue unit
2583,TREE_WAX_PALM,Tree (Wax Palm),,,
2584,,Elite Ibirapema Warrior,,,Tupi unqiue unit
2585,,Howler Monkey,,,"animated scenery, like the panda rock"
2586,,Temple Guard,,,Muisca unique unit
2587,,Elite Temple Guard,,,Muisca unique unit
2588,,Champi Runner,,,
2589,TAPIR,Tapir,,,like boar
2590,CAPYBARA,Capybara,,,like sheep
2591,GUANACO,Guanaco,,,like deer
2592,SNAKE,Snake,,,predator that roams the whole map and can swim and deals bleed damage
2593,CONDOR,Condor,,,bird
2594,CAIMAN,Caiman,,,predator with charge attack
2595,BLACK_PANTHER,Black Panther,,,predator
2596,FLAMINGO,Flamingo,,,bird
2597,RHEA,Rhea,,,like deer
2598,,Small Waterfall,,,
2599,PAPAYA_TREE,Papaya Tree,,,125 food; like forage bush
2600,,Wooden Fort,,,like a castle; 30 garrison space; cannot train aynthing
2601,,Flag Q,,,
2602,,Flag R,,,
2603,,Flag S,,,
2604,,Flag T,,,
2605,,Flag U,,,
2606,,Burned Building C,,,
2607,,Gunpowder Keg,,,75 hp; explodes when destroyed
2608,,Projectile Blackwood Archer,,,
2609,,Projectile Elite Blackwood Archer,,,
2610,,Trail Poison,,,
2611,,Andean Ruins,,,
2612,,War Dog,,,
2613,,Elite War Dog,,,
2614,ALPACA,Alpaca,,,like horse; can autoscout
2615,WILD_ALPACA,Wild Alpaca,,,like wild horse; no food
2616,,Invisible Spawner A,,,
2617,,Invisible Spawner B,,,
2618,,Invisible Spawner C,,,
2619,,Invisible Spawner D,,,
2620,,Invisible Spawner E,,,
2621,,Invisible Spawner F,,,
2622,,Trail Rope,,,
2623,,Projectile Harald,,,
2624,,FIRESHIP_EXP,,,fireship explosion
2625,,Whale,,,1000 gold; gatherbale by fishing ships
2626,,Hulk,,,melee ship
2627,,War Hulk,,,melee ship
2628,,Carrack,,,melee ship
2629,,Projectile Fire Ship (Charge),,,
2630,,Whaling Ship,,,fishing ship when tasked to whales
2631,,Projectile DOCK,,,
2632,,Projectile DOCK (Fire),,,
2633,,Catapult Galleon,,,
2634,,-,,,
2635,,Treasure Chest,,,
2636,,Projectile Hook,,,hulk projectile
2637,,Lautaro,,,cavalry hero that boosts nearby attack speed
2638,,Galvarino,,,infantry hero
2639,,Guacolda,,,infantry hero that causes nearby units to regenerate
2640,,Pacanchique,,,infantry hero that boosts nearby armor
2641,,Arariboia,,,melee mode hero that boosts nearby unit speed
2642,,Arariboia,,,ranged mode hero that boosts nearby unit speed
2643,,Cunhambebe,,,infantry hero that deals area damage
2644,,Scaffolding (Walkable),,,
2645,,Invisible Spawner G,,,
2646,,Invisible Spawner H,,,
2647,,Invisible Spawner I,,,
2648,,Invisible Spawner J,,,
2649,,-,,,
2650,PINEAPPLE_BUSH,Pineapple Bush,,,125 food; like forage bush
2651,,Cliff (Terrace) 01,,,
2652,,Cliff (Terrace) 02,,,
2653,,Cliff (Terrace) 03,,,
2654,,Cliff (Terrace) 04,,,
2655,,Cliff (Terrace) 05,,,
2656,,Cliff (Terrace) 06,,,
2657,,Cliff (Terrace) 07,,,
2658,,Cliff (Terrace) 08,,,
2659,,Cliff (Terrace) 09,,,
2660,,-,,,
2661,,-,,,
2662,,-,,,
2663,,-,,,
2664,,-,,,
2665,,-,,,
2666,,-,,,
2667,,-,,,
2668,,-,,,
2669,,-,,,
2670,,-,,,
2671,,-,,,
2672,,-,,,
2673,,-,,,
2674,,-,,,
2675,,-,,,
2676,,-,,,
2677,,-,,,
2678,,Fort Wall,,,tall palisade wall; 2500 hp
2679,,Fort Gate,,,
2680,,Fort Gate,,,
2681,,Fort Gate,,,
2682,,Fort Gate,,,
2683,,Fort Gate,,,
2684,,Fort Gate,,,
2685,,Fort Gate,,,
2686,,Fort Gate,,,
2687,,Fort Gate,,,
2688,,Fort Gate,,,
2689,,Fort Gate,,,
2690,,Fort Gate,,,
2691,,Fort Gate,,,
2692,,Fort Gate,,,
2693,,Fort Gate,,,
2694,,Fort Gate,,,
2695,,-,,,
2696,,-,,,
2697,,-,,,
2698,,-,,,
2699,,-,,,
2700,,Mounted Crossbowman,,,regional cavalry archer replacement
2701,,Heavy Mounted Crossbowman,,,regional cavalry archer replacement
2702,,Projectile Hearth Troop,,,
2703,,Varangian Guard,,,regional shock infantry
2704,,Elite Varangian Guard,,,regional shock infantry
2705,,Hearth Troop,,,Saxon unique unit
2706,,Elite Hearth Troop,,,Saxon unique unit
2707,,Projectile Elite Hearth Troop,,,
2708,,Jarl,,,Varangian unique unit
2709,,Elite Jarl,,,Varangian unique unit
2710,,Projectile Gothikon,,,
2711,,Jomsviking,,,Danish unique unit
2712,,Elite Jomsviking,,,Danish unique unit
2713,,Projectile Jomsviking,,,
2714,,Villager Repairer (Male),,,
2715,,Villager Repairer (Female),,,
2716,,Castle/TC Infantry Discount Removal,,,
2717,,Castle/TC Infantry Discount,,,
2718,,Empty Castle Annex,,,
2719,,Projectile Jarl,,,
2720,,Projectile EliteJarl,,,
2721,,Harald,,,infantry hero
2722,,Ulf Ospaksson,,,infantry hero; has aura that boosts varangian guards
2723,,Halldor Snorrason,,,infantry hero
2724,,Tostig Godwinson,,,cavalry hero
2725,,Finn Arnason,,,halberdier hero
2726,,Kalf Arnason,,,longswordsman hero
2727,,Einar Paunch-Shaker,,,elite composite bowman hero
2728,,Dreki,,,ship hero
2729,,Legendary Item,,,can be interacted with; has relic glow
2730,,Wheeled Ship,,,unit that moves on land
2731,TREE_SPRUCE,Tree (Spruce),,,100 wood
2732,TREE_SPRUCE_SNOW,Tree (Spruce Snow),,,101 wood
2733,BUSH_GORSE,Bush D,,,102 wood
2734,ROCK_SNOW,Rock (Snow),,,
2735,SEAL,Seal,,,140 food
2736,LYNX,Lynx,,,predator
2737,ELK,Elk,,,380 food
2738,,Runestones,,,
2739,PHEASANT,Pheasant,,,75 food
2740,,Driftwood (Ground),,,
2741,,Driftwood (Water),,,animated
2742,FLAMING_BIRD,Flaming Bird,,,bird
2743,PLANT_HEATHER,Plant (Heather),,,
2744,,Burned Building D,,,
2745,,Army Tent F,,,provides 5 population
2746,SHIPWRECK3,Shipwreck C,,,
2747,,Norse Column,,,
2748,,Wooden Road,,,
2749,,Norse Banner,,,
2750,,-,,,
